Category,Fuel,ID_Euro,PercvsADT,minSpeed,maxSpeed
HEAVY_VEHICLES,Diesel,0,0.0485,10,80
HEAVY_VEHICLES,Diesel,1,0.0199,10,80
HEAVY_VEHICLES,Diesel,2,0.0642,10,80
HEAVY_VEHICLES,Diesel,3,0.1936,10,80
HEAVY_VEHICLES,Diesel,4,0.0831,10,80
HEAVY_VEHICLES,Diesel,5,0.2877,10,80
HEAVY_VEHICLES,Diesel,6,0.303,10,80
LIGHT_VEHICLES,Diesel,0,0.0004,10,130
LIGHT_VEHICLES,Diesel,1,0.0001,10,130
LIGHT_VEHICLES,Diesel,2,0.0023,10,130
LIGHT_VEHICLES,Diesel,3,0.018,10,130
LIGHT_VEHICLES,Diesel,4,0.0723,10,130
LIGHT_VEHICLES,Diesel,5,0.147,10,130
LIGHT_VEHICLES,Diesel,6,0.2228,10,130
LIGHT_VEHICLES,Petrol,0,0.0021,10,130
LIGHT_VEHICLES,Petrol,1,0.0008,10,130
LIGHT_VEHICLES,Petrol,2,0.0072,10,130
LIGHT_VEHICLES,Petrol,3,0.0162,10,130
LIGHT_VEHICLES,Petrol,4,0.0995,10,130
LIGHT_VEHICLES,Petrol,5,0.1109,10,130
LIGHT_VEHICLES,Petrol,6,0.2654,10,130
LIGHT_VEHICLES,Other,0,0.0001,10,130
LIGHT_VEHICLES,Other,1,0.0003,10,130
LIGHT_VEHICLES,Other,2,0.0006,10,130
LIGHT_VEHICLES,Other,3,0.0014,10,130
LIGHT_VEHICLES,Other,4,0.0035,10,130
LIGHT_VEHICLES,Other,5,0.0084,10,130
LIGHT_VEHICLES,Other,6,0.0207,10,130
BUSES,Diesel,0,0.0049,10,100
BUSES,Diesel,1,0.0148,10,100
BUSES,Diesel,2,0.0197,10,100
BUSES,Diesel,3,0.0246,10,100
BUSES,Diesel,4,0.0591,10,100
BUSES,Diesel,5,0.266,10,100
BUSES,Diesel,6,0.6108,10,100
