KM,quota,RoadSlope
0,1376.4,0
1,1374.9,0
2,1365.2,-0.02
3,1344.8,-0.02
4,1322.3,-0.02
5,1308.5,-0.02
6,1288.9,-0.02
7,1256.8,-0.04
8,1218.4,-0.04
9,1183.2,-0.04
10,1142.9,-0.04
11,1107.6,-0.04
12,1072.9,-0.04
13,1036.7,-0.04
14,1003.2,-0.04
15,971.3,-0.02
16,946.4,-0.02
17,939,0
18,932.4,0
19,928.3,0
20,927.4,0
21,935.1,0
22,925.4,-0.02
23,913.5,-0.02
24,892.7,-0.02
25,873.9,-0.02
26,858.4,-0.02
27,851.1,0
28,841.7,-0.02
29,830.7,-0.02
30,815.6,-0.02
31,804,-0.02
32,790,-0.02
33,773.4,-0.02
34,754.7,-0.02
35,752.1,0
36,747.6,0
37,734.7,-0.02
38,705.3,-0.02
39,680.4,-0.02
40,659,-0.02
41,636.4,-0.02
42,615.5,-0.02
43,605.2,0
44,601,-0.02
45,579,-0.02
46,560.5,-0.02
47,553.9,0
48,551.2,0
49,550.1,0
50,548.7,0
51,550.8,0
52,555.5,0
53,561.5,0
54,572.1,0
55,580.5,0
56,575,-0.02
57,557.7,-0.02
58,540.5,-0.02
59,517.9,-0.02
60,496,-0.02
61,485.3,-0.02
62,465.4,-0.02
63,453.8,0
64,452.7,0
65,444,-0.02
66,431,-0.02
67,423.1,0
68,422.7,0
69,407.8,-0.02
70,398.7,-0.02
71,384.9,-0.02
72,369.8,-0.02
73,352,-0.02
74,343.4,0
75,332.6,0
76,331.2,0
77,326.9,0
78,312.5,-0.02
79,304,-0.02
80,284,-0.02
81,271.8,0
82,270,0
83,267.8,0
84,262.1,0
85,253.4,0
86,247.5,0
87,247.4,0
88,247.2,0
89,245.5,0
90,239.3,0
91,238,0
92,238,0
93,234.9,0
94,234.2,0
95,234.5,0
96,234.6,0
97,234.9,0
98,235.3,0
99,236.1,0
100,232.7,0
101,231.5,0
102,227.5,0
103,227.3,0
104,226.6,0
105,224.7,0
106,223.2,0
107,221.8,0
108,220.2,0
109,218.6,0
110,217.7,0
111,217.4,0
112,217.3,0
113,216.5,0
114,215.9,0
115,215.3,0
116,213.3,0
117,211.4,0
118,211.1,0
119,211.4,0
120,211.7,0
121,214.2,0
122,216.7,0
123,215.7,0
124,211.3,0
125,209,0
126,209,0
127,210.1,0
128,211.3,0
129,210.5,0
130,210.9,0
131,209.6,0
132,206.6,0
133,203.3,0
134,202.2,0
135,201.7,0
136,201.6,0
137,198.2,0
138,197.6,0
139,195.7,0
140,195.8,0
141,195.6,0
142,191.6,0
143,188.5,0
144,187.5,0
145,186.6,0
146,185.8,0
147,185.4,0
148,185.6,0
149,185.3,0
150,185.4,0
151,185.9,0
152,186.9,0
153,186.8,0
154,185.6,0
155,184.9,0
156,185.1,0
157,186,0
158,185.9,0
159,185.1,0
160,184.1,0
161,190.7,0
162,201.3,0
163,201.2,0
164,188.1,-0.02
165,174.6,0
166,168.8,0
167,166.9,0
168,166,0
169,165.5,0
170,164.5,0
171,161.1,0
172,158.4,0
173,157.4,0
174,157.6,0
175,156.2,0
176,154.3,0
177,152.4,0
178,150.7,0
179,148.5,0
180,146,0
181,142.6,0
182,139.9,0
183,137.3,0
184,135.9,0
185,135.4,0
186,134.9,0
187,133.8,0
188,133.5,0
189,132.6,0
190,131.7,0
191,134,0
192,133,0
193,130,0
194,127.4,0
195,128.1,0
196,125.6,0
197,122.3,0
198,124,0
199,125.5,0
200,121.5,0
201,120.9,0
202,139.1,0.02
203,171.9,0.02
204,190.4,0.02
205,195.6,0
206,193,0
207,190.8,0
208,181.7,0
209,173,0
210,167.7,0
211,164.6,0
212,158.1,0
213,154.2,0
214,159.6,0.02
215,178.1,0.02
216,183.4,0
217,165.8,-0.02
218,141.3,-0.02
219,122.7,-0.02
220,112.9,0
221,108.5,0
222,101.6,0
223,95.2,0
224,91.6,0
225,90.5,0
226,85,0
227,79.6,0
228,73,0
229,67.9,0
230,63.2,0
231,60.8,0
232,54.2,0
233,49.7,0
234,46.6,0
235,43.5,0
236,41.1,0
237,39.4,0
238,38.3,0
239,36.6,0
240,35,0
241,34.8,0
242,34.3,0
243,34,0
244,33.5,0
245,32.3,0
246,30.7,0
247,29.2,0
248,28.1,0
249,27.6,0
250,27.5,0
251,27.2,0
252,26.2,0
253,25.2,0
254,24.5,0
255,23.2,0
256,23.1,0
257,21.8,0
258,20.2,0
259,18.9,0
260,18.3,0
261,17.4,0
262,18.2,0
263,15.5,0
264,12.4,0
265,14.9,0
266,15.5,0
267,16.6,0
268,16.1,0
269,30,0
270,28.2,0
271,18.9,0
272,14.8,0
273,14.9,0
274,13.5,0
275,14.6,0
276,15.3,0
277,13.3,0
278,12.7,0
279,13.1,0
280,13.8,0
281,14.2,0
282,14.3,0
283,13.6,0
284,13.5,0
285,17.4,0
286,19,0
287,17.9,0
288,17.3,0
289,18.1,0
290,17.5,0
291,17.2,0
292,16.7,0
293,16.6,0
294,16.7,0
295,17,0
296,18.2,0
297,19.6,0
298,20.4,0
299,21.3,0
300,23,0
301,24.6,0
302,26.4,0
303,28,0
304,28.4,0
305,28.8,0
306,30,0
307,31.7,0
308,32.5,0
309,33.3,0
310,34.3,0
311,35,0
312,38.8,0
313,42.6,0
NA,0,0
